cluster_id	action	victim_path_on_gws	quarantine_path	survivor_path	victim_score	survivor_score
81	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/unknown/00/Homepage-1.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/unknown/00/Homepage-1.jpg	gws-backup:GML-Consolidated/unknown/00/Homepage-1.png	24.2	25.6
81	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Homepage-1.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Homepage-1.png	gws-backup:GML-Consolidated/unknown/00/Homepage-1.png	15.6	25.6
81	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Homepage-1.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Homepage-1.jpg	gws-backup:GML-Consolidated/unknown/00/Homepage-1.png	14.2	25.6
82	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/unknown/00/Homepage.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/unknown/00/Homepage.jpg	gws-backup:GML-Consolidated/unknown/00/Homepage.png	24.8	26.6
82	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Homepage.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Homepage.png	gws-backup:GML-Consolidated/unknown/00/Homepage.png	16.6	26.6
82	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Homepage.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Homepage.jpg	gws-backup:GML-Consolidated/unknown/00/Homepage.png	14.8	26.6
121	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2026-01-20 v 13.58.56 (2).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2026-01-20 v 13.58.56 (2).png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2026-01-20 v 13.58.56 (2).png	12.3	22.3
121	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2026-01-20 v 13.58.53 (2).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2026-01-20 v 13.58.53 (2).png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2026-01-20 v 13.58.56 (2).png	12.3	22.3
123	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/.staging/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2026-01-20 v 13.59.04.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/.staging/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2026-01-20 v 13.59.04.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2026-01-20 v 13.59.04.png	13.9	23.9
123	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2026-01-20 v 13.59.04 1.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2026-01-20 v 13.59.04 1.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2026-01-20 v 13.59.04.png	13.9	23.9
